City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
301,Kirando,TZ,78.15,overcast clouds,-7.4167,30.6,Lakeshore Lodge
305,Mana,GF,83.03,few clouds,5.6592,-53.7767,LE SAMANA
306,Progreso,MX,86.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
309,Masvingo,ZW,76.87,overcast clouds,-20.0637,30.8277,River Side Lodge
314,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
315,Mexico,PH,79.14,clear sky,15.0646,120.7198,stone place
316,Sao Jose Da Coroa Grande,BR,80.15,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
320,Bentiu,SS,79.29,overcast clouds,9.2333,29.8333,Mandela hôtel
325,Sarangani,PH,82.53,overcast clouds,5.4033,125.4636,Ballistic Islet
331,Port Blair,IN,80.37,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
333,Matara,LK,76.5,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
339,Grand-Santi,GF,80.17,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
342,Puerto Escondido,MX,84.85,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
344,Bandarbeyla,SO,79.09,light rain,9.4942,50.8122,JABIR HOTEL
345,Yarada,IN,79.12,mist,17.65,83.2667,Vishranti
346,Bengkulu,ID,75.83,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
348,Luwuk,ID,76.89,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
350,Nyimba,ZM,78.44,clear sky,-14.5566,30.8149,Dali Dali Lodge
355,San Policarpo,PH,81.28,overcast clouds,12.1791,125.5072,Agapita M. Nicart
356,Vallenar,CL,86.68,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
364,Beberibe,BR,84.24,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
366,Porto Walter,BR,87.53,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
367,Fomboni,KM,78.31,clear sky,-12.28,43.7425,Auberge les abou
375,Maceio,BR,85.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
376,Victoria,HK,75.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
378,Ban Phai,TH,79.02,overcast clouds,16.06,102.731,Inpawa Hotel
380,Harper,LR,78.12,overcast clouds,4.375,-7.7169,Screensaver
399,Biak,ID,75.97,overcast clouds,-0.9131,122.8766,Penginapan Kim
403,Manapparai,IN,77.86,light rain,10.6,78.4167,VIJAY GUEST HOUSE (LODGE)
405,Faanui,PF,78.15,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
406,Terra Santa,BR,85.66,light rain,-2.1042,-56.4869,Hotel Sarah
407,Cabiraoan,PH,76.21,overcast clouds,18.3238,122.086,Cunanan’s Residence
408,Sinnamary,GF,82.56,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
412,Abu Kamal,SY,76.15,overcast clouds,34.4506,40.9171,محطة التلفاز
416,Santa Rosa,PH,79.86,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
418,Diffa,NE,86.94,overcast clouds,13.3154,12.6113,ProDAF/Diffa
421,Ranong,TH,77.16,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
422,Amahai,ID,78.51,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
430,Buala,SB,81.07,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
431,Phalodi,IN,78.4,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
438,Kalawit,PH,78.76,overcast clouds,8.0667,122.5167,Ompoy Pension House
441,Atar,MR,87.15,overcast clouds,20.5169,-13.0499,Oumou Elghoura
444,Tirumullaivasal,IN,79.9,heavy intensity rain,11.2333,79.8333,Almupaark complex
446,Jacobina,BR,84.85,overcast clouds,-11.1806,-40.5183,HOSTEL JACOBINA
447,Kudahuvadhoo,MV,82.2,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
449,Santa Maria,BR,88.9,clear sky,-29.6842,-53.8069,Hotel Morotin
451,San Angelo,US,83.64,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
452,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
453,San Rafael,AR,75.27,clear sky,-34.6177,-68.3301,Hotel San Rafael
455,Lufilufi,WS,76.78,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
456,Soyo,AO,77.65,overcast clouds,-6.1349,12.3689,Hotel Mpampa
457,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
462,Bilma,NE,83.71,few clouds,18.6853,12.9164,Expeditions Ténére voyages
